Team,Statistic,Value
Senegal,Attacking - Attempts At Goal,49.0
South Africa,Attacking - Attempts At Goal,39.0
Spain,Attacking - Attempts At Goal,55.0
Sweden,Attacking - Attempts At Goal,48.0
Switzerland,Attacking - Attempts At Goal,45.0
Tunisia,Attacking - Attempts At Goal,18.0
Türkiye,Attacking - Attempts At Goal,70.0
USA,Attacking - Attempts At Goal,44.0
Uruguay,Attacking - Attempts At Goal,49.0
Uzbekistan,Attacking - Attempts At Goal,18.0
Algeria,Attacking - Attempts At Goal Conv. Rate (%),14.0
Argentina,Attacking - Attempts At Goal Conv. Rate (%),23.0
Australia,Attacking - Attempts At Goal Conv. Rate (%),8.0
Austria,Attacking - Attempts At Goal Conv. Rate (%),23.0
Belgium,Attacking - Attempts At Goal Conv. Rate (%),8.0
Bosnia and Herzegovina,Attacking - Attempts At Goal Conv. Rate (%),19.0
Brazil,Attacking - Attempts At Goal Conv. Rate (%),15.0
Cabo Verde,Attacking - Attempts At Goal Conv. Rate (%),6.0
Canada,Attacking - Attempts At Goal Conv. Rate (%),13.0
Colombia,Attacking - Attempts At Goal Conv. Rate (%),7.0
Congo DR,Attacking - Attempts At Goal Conv. Rate (%),12.0
Croatia,Attacking - Attempts At Goal Conv. Rate (%),21.0
Curaçao,Attacking - Attempts At Goal Conv. Rate (%),3.0
Czechia,Attacking - Attempts At Goal Conv. Rate (%),6.0
Côte d'Ivoire,Attacking - Attempts At Goal Conv. Rate (%),11.0
Ecuador,Attacking - Attempts At Goal Conv. Rate (%),4.0
Egypt,Attacking - Attempts At Goal Conv. Rate (%),10.0
England,Attacking - Attempts At Goal Conv. Rate (%),10.0
France,Attacking - Attempts At Goal Conv. Rate (%),18.0
Germany,Attacking - Attempts At Goal Conv. Rate (%),15.0
Ghana,Attacking - Attempts At Goal Conv. Rate (%),13.0
Haiti,Attacking - Attempts At Goal Conv. Rate (%),6.0
IR Iran,Attacking - Attempts At Goal Conv. Rate (%),8.0
Iraq,Attacking - Attempts At Goal Conv. Rate (%),5.0
Japan,Attacking - Attempts At Goal Conv. Rate (%),25.0
Jordan,Attacking - Attempts At Goal Conv. Rate (%),13.0
Korea Republic,Attacking - Attempts At Goal Conv. Rate (%),6.0
Mexico,Attacking - Attempts At Goal Conv. Rate (%),17.0
Morocco,Attacking - Attempts At Goal Conv. Rate (%),12.0
Netherlands,Attacking - Attempts At Goal Conv. Rate (%),24.0
New Zealand,Attacking - Attempts At Goal Conv. Rate (%),13.0
Norway,Attacking - Attempts At Goal Conv. Rate (%),23.0
Panama,Attacking - Attempts At Goal Conv. Rate (%),0.0
Paraguay,Attacking - Attempts At Goal Conv. Rate (%),10.0
Portugal,Attacking - Attempts At Goal Conv. Rate (%),16.0
Qatar,Attacking - Attempts At Goal Conv. Rate (%),12.0
Saudi Arabia,Attacking - Attempts At Goal Conv. Rate (%),6.0
Scotland,Attacking - Attempts At Goal Conv. Rate (%),3.0
Senegal,Attacking - Attempts At Goal Conv. Rate (%),16.0
South Africa,Attacking - Attempts At Goal Conv. Rate (%),5.0
Spain,Attacking - Attempts At Goal Conv. Rate (%),9.0
Sweden,Attacking - Attempts At Goal Conv. Rate (%),15.0
Switzerland,Attacking - Attempts At Goal Conv. Rate (%),16.0
Tunisia,Attacking - Attempts At Goal Conv. Rate (%),11.0
Türkiye,Attacking - Attempts At Goal Conv. Rate (%),4.0
USA,Attacking - Attempts At Goal Conv. Rate (%),18.0
Uruguay,Attacking - Attempts At Goal Conv. Rate (%),6.0
Uzbekistan,Attacking - Attempts At Goal Conv. Rate (%),11.0
Algeria,Attacking - Attempts Inside the Penalty Area,21.0
Argentina,Attacking - Attempts Inside the Penalty Area,20.0
Australia,Attacking - Attempts Inside the Penalty Area,16.0
Austria,Attacking - Attempts Inside the Penalty Area,15.0
Belgium,Attacking - Attempts Inside the Penalty Area,50.0
Bosnia and Herzegovina,Attacking - Attempts Inside the Penalty Area,12.0
Brazil,Attacking - Attempts Inside the Penalty Area,41.0
Cabo Verde,Attacking - Attempts Inside the Penalty Area,15.0
Canada,Attacking - Attempts Inside the Penalty Area,51.0
Colombia,Attacking - Attempts Inside the Penalty Area,35.0
Congo DR,Attacking - Attempts Inside the Penalty Area,16.0
Croatia,Attacking - Attempts Inside the Penalty Area,11.0
Curaçao,Attacking - Attempts Inside the Penalty Area,14.0
Czechia,Attacking - Attempts Inside the Penalty Area,22.0
Côte d'Ivoire,Attacking - Attempts Inside the Penalty Area,30.0
Ecuador,Attacking - Attempts Inside the Penalty Area,30.0
Egypt,Attacking - Attempts Inside the Penalty Area,30.0
England,Attacking - Attempts Inside the Penalty Area,46.0
France,Attacking - Attempts Inside the Penalty Area,43.0
Germany,Attacking - Attempts Inside the Penalty Area,48.0
Ghana,Attacking - Attempts Inside the Penalty Area,11.0
Haiti,Attacking - Attempts Inside the Penalty Area,16.0
IR Iran,Attacking - Attempts Inside the Penalty Area,26.0
Iraq,Attacking - Attempts Inside the Penalty Area,12.0
Japan,Attacking - Attempts Inside the Penalty Area,16.0
Jordan,Attacking - Attempts Inside the Penalty Area,13.0
Korea Republic,Attacking - Attempts Inside the Penalty Area,21.0
Mexico,Attacking - Attempts Inside the Penalty Area,23.0
Morocco,Attacking - Attempts Inside the Penalty Area,35.0
Netherlands,Attacking - Attempts Inside the Penalty Area,35.0
New Zealand,Attacking - Attempts Inside the Penalty Area,19.0
Norway,Attacking - Attempts Inside the Penalty Area,35.0
Panama,Attacking - Attempts Inside the Penalty Area,20.0
Paraguay,Attacking - Attempts Inside the Penalty Area,16.0
Portugal,Attacking - Attempts Inside the Penalty Area,22.0
Qatar,Attacking - Attempts Inside the Penalty Area,10.0
Saudi Arabia,Attacking - Attempts Inside the Penalty Area,8.0
Scotland,Attacking - Attempts Inside the Penalty Area,23.0
Senegal,Attacking - Attempts Inside the Penalty Area,28.0
South Africa,Attacking - Attempts Inside the Penalty Area,13.0
Spain,Attacking - Attempts Inside the Penalty Area,34.0
Sweden,Attacking - Attempts Inside the Penalty Area,30.0
Switzerland,Attacking - Attempts Inside the Penalty Area,32.0
Tunisia,Attacking - Attempts Inside the Penalty Area,6.0
Türkiye,Attacking - Attempts Inside the Penalty Area,37.0
USA,Attacking - Attempts Inside the Penalty Area,36.0
Uruguay,Attacking - Attempts Inside the Penalty Area,27.0
Uzbekistan,Attacking - Attempts Inside the Penalty Area,10.0
Algeria,Attacking - Attempts On Target,14.0
Argentina,Attacking - Attempts On Target,15.0
Australia,Attacking - Attempts On Target,11.0
Austria,Attacking - Attempts On Target,8.0
Belgium,Attacking - Attempts On Target,21.0
Bosnia and Herzegovina,Attacking - Attempts On Target,11.0
Brazil,Attacking - Attempts On Target,25.0
Cabo Verde,Attacking - Attempts On Target,7.0
Canada,Attacking - Attempts On Target,29.0
Colombia,Attacking - Attempts On Target,20.0
Congo DR,Attacking - Attempts On Target,8.0
Croatia,Attacking - Attempts On Target,11.0
Curaçao,Attacking - Attempts On Target,7.0
Czechia,Attacking - Attempts On Target,8.0
Côte d'Ivoire,Attacking - Attempts On Target,14.0
Ecuador,Attacking - Attempts On Target,19.0
Egypt,Attacking - Attempts On Target,13.0
England,Attacking - Attempts On Target,20.0
France,Attacking - Attempts On Target,34.0
Germany,Attacking - Attempts On Target,28.0
Ghana,Attacking - Attempts On Target,3.0
Haiti,Attacking - Attempts On Target,7.0
IR Iran,Attacking - Attempts On Target,10.0
Iraq,Attacking - Attempts On Target,2.0
Japan,Attacking - Attempts On Target,11.0
Jordan,Attacking - Attempts On Target,9.0
Korea Republic,Attacking - Attempts On Target,11.0
Mexico,Attacking - Attempts On Target,13.0
Morocco,Attacking - Attempts On Target,21.0
Netherlands,Attacking - Attempts On Target,22.0
New Zealand,Attacking - Attempts On Target,15.0
Norway,Attacking - Attempts On Target,21.0
Panama,Attacking - Attempts On Target,7.0
Paraguay,Attacking - Attempts On Target,8.0
Portugal,Attacking - Attempts On Target,12.0
Qatar,Attacking - Attempts On Target,6.0
Saudi Arabia,Attacking - Attempts On Target,8.0
Scotland,Attacking - Attempts On Target,7.0
Senegal,Attacking - Attempts On Target,17.0
South Africa,Attacking - Attempts On Target,11.0
Spain,Attacking - Attempts On Target,16.0
Sweden,Attacking - Attempts On Target,23.0
Switzerland,Attacking - Attempts On Target,18.0
Tunisia,Attacking - Attempts On Target,6.0
Türkiye,Attacking - Attempts On Target,14.0
USA,Attacking - Attempts On Target,15.0
Uruguay,Attacking - Attempts On Target,13.0
Uzbekistan,Attacking - Attempts On Target,5.0
Algeria,Attacking - Attempts Outside the Penalty Area,15.0
Argentina,Attacking - Attempts Outside the Penalty Area,15.0
Australia,Attacking - Attempts Outside the Penalty Area,10.0
Austria,Attacking - Attempts Outside the Penalty Area,11.0
Belgium,Attacking - Attempts Outside the Penalty Area,23.0
Bosnia and Herzegovina,Attacking - Attempts Outside the Penalty Area,15.0
Brazil,Attacking - Attempts Outside the Penalty Area,18.0
Cabo Verde,Attacking - Attempts Outside the Penalty Area,18.0
Canada,Attacking - Attempts Outside the Penalty Area,20.0
Colombia,Attacking - Attempts Outside the Penalty Area,24.0
Congo DR,Attacking - Attempts Outside the Penalty Area,18.0
Croatia,Attacking - Attempts Outside the Penalty Area,13.0
Curaçao,Attacking - Attempts Outside the Penalty Area,15.0
Czechia,Attacking - Attempts Outside the Penalty Area,12.0
Côte d'Ivoire,Attacking - Attempts Outside the Penalty Area,15.0
Ecuador,Attacking - Attempts Outside the Penalty Area,16.0
Egypt,Attacking - Attempts Outside the Penalty Area,18.0
England,Attacking - Attempts Outside the Penalty Area,12.0
France,Attacking - Attempts Outside the Penalty Area,30.0
Germany,Attacking - Attempts Outside the Penalty Area,26.0
Ghana,Attacking - Attempts Outside the Penalty Area,4.0
Haiti,Attacking - Attempts Outside the Penalty Area,15.0
IR Iran,Attacking - Attempts Outside the Penalty Area,11.0
Iraq,Attacking - Attempts Outside the Penalty Area,9.0
Japan,Attacking - Attempts Outside the Penalty Area,16.0
Jordan,Attacking - Attempts Outside the Penalty Area,11.0
Korea Republic,Attacking - Attempts Outside the Penalty Area,11.0
Mexico,Attacking - Attempts Outside the Penalty Area,12.0
Morocco,Attacking - Attempts Outside the Penalty Area,24.0
Netherlands,Attacking - Attempts Outside the Penalty Area,11.0
New Zealand,Attacking - Attempts Outside the Penalty Area,12.0
Norway,Attacking - Attempts Outside the Penalty Area,8.0
Panama,Attacking - Attempts Outside the Penalty Area,12.0
Paraguay,Attacking - Attempts Outside the Penalty Area,14.0
Portugal,Attacking - Attempts Outside the Penalty Area,15.0
Qatar,Attacking - Attempts Outside the Penalty Area,7.0
Saudi Arabia,Attacking - Attempts Outside the Penalty Area,9.0
Scotland,Attacking - Attempts Outside the Penalty Area,6.0
Senegal,Attacking - Attempts Outside the Penalty Area,21.0
South Africa,Attacking - Attempts Outside the Penalty Area,26.0
Spain,Attacking - Attempts Outside the Penalty Area,21.0
Sweden,Attacking - Attempts Outside the Penalty Area,18.0
Switzerland,Attacking - Attempts Outside the Penalty Area,13.0
Tunisia,Attacking - Attempts Outside the Penalty Area,12.0
Türkiye,Attacking - Attempts Outside the Penalty Area,33.0
USA,Attacking - Attempts Outside the Penalty Area,8.0
Uruguay,Attacking - Attempts Outside the Penalty Area,22.0
Uzbekistan,Attacking - Attempts Outside the Penalty Area,8.0
Algeria,Attacking - Corners,12.0
Argentina,Attacking - Corners,9.0
Australia,Attacking - Corners,12.0
Austria,Attacking - Corners,10.0
Belgium,Attacking - Corners,14.0
Bosnia and Herzegovina,Attacking - Corners,12.0
Brazil,Attacking - Corners,22.0
Cabo Verde,Attacking - Corners,9.0
Canada,Attacking - Corners,39.0
Colombia,Attacking - Corners,14.0
Congo DR,Attacking - Corners,10.0
Croatia,Attacking - Corners,7.0
Curaçao,Attacking - Corners,5.0
Czechia,Attacking - Corners,15.0
Côte d'Ivoire,Attacking - Corners,26.0
Ecuador,Attacking - Corners,17.0
Egypt,Attacking - Corners,18.0
England,Attacking - Corners,24.0
France,Attacking - Corners,24.0
Germany,Attacking - Corners,34.0
Ghana,Attacking - Corners,6.0
Haiti,Attacking - Corners,9.0
IR Iran,Attacking - Corners,8.0
Iraq,Attacking - Corners,7.0
Japan,Attacking - Corners,13.0
Jordan,Attacking - Corners,6.0
Korea Republic,Attacking - Corners,12.0
Mexico,Attacking - Corners,4.0
Morocco,Attacking - Corners,24.0
Netherlands,Attacking - Corners,18.0
New Zealand,Attacking - Corners,10.0
Norway,Attacking - Corners,17.0
Panama,Attacking - Corners,12.0
Paraguay,Attacking - Corners,8.0
Portugal,Attacking - Corners,10.0
Qatar,Attacking - Corners,9.0
Saudi Arabia,Attacking - Corners,7.0
Scotland,Attacking - Corners,12.0
Senegal,Attacking - Corners,20.0
South Africa,Attacking - Corners,11.0
Spain,Attacking - Corners,23.0
Sweden,Attacking - Corners,18.0
Switzerland,Attacking - Corners,19.0
Tunisia,Attacking - Corners,9.0
Türkiye,Attacking - Corners,22.0
USA,Attacking - Corners,19.0
Uruguay,Attacking - Corners,26.0
Uzbekistan,Attacking - Corners,9.0
Algeria,Attacking - Goals,5.0
Argentina,Attacking - Goals,8.0
Australia,Attacking - Goals,2.0
Austria,Attacking - Goals,6.0
Belgium,Attacking - Goals,6.0
Bosnia and Herzegovina,Attacking - Goals,5.0
Brazil,Attacking - Goals,9.0
Cabo Verde,Attacking - Goals,2.0
Canada,Attacking - Goals,9.0
Colombia,Attacking - Goals,4.0
Congo DR,Attacking - Goals,4.0
Croatia,Attacking - Goals,5.0
Curaçao,Attacking - Goals,1.0
Czechia,Attacking - Goals,2.0
Côte d'Ivoire,Attacking - Goals,5.0
Ecuador,Attacking - Goals,2.0
Egypt,Attacking - Goals,5.0
England,Attacking - Goals,6.0
France,Attacking - Goals,13.0
Germany,Attacking - Goals,11.0
Ghana,Attacking - Goals,2.0
Haiti,Attacking - Goals,2.0
IR Iran,Attacking - Goals,3.0
Iraq,Attacking - Goals,1.0
Japan,Attacking - Goals,8.0
Jordan,Attacking - Goals,3.0
Korea Republic,Attacking - Goals,2.0
Mexico,Attacking - Goals,6.0
Morocco,Attacking - Goals,7.0
Netherlands,Attacking - Goals,11.0
New Zealand,Attacking - Goals,4.0
Norway,Attacking - Goals,10.0
Panama,Attacking - Goals,0.0
Paraguay,Attacking - Goals,3.0
Portugal,Attacking - Goals,6.0
Qatar,Attacking - Goals,2.0
Saudi Arabia,Attacking - Goals,1.0
Scotland,Attacking - Goals,1.0
Senegal,Attacking - Goals,8.0
South Africa,Attacking - Goals,2.0
Spain,Attacking - Goals,5.0
Sweden,Attacking - Goals,7.0
Switzerland,Attacking - Goals,7.0
Tunisia,Attacking - Goals,2.0
Türkiye,Attacking - Goals,3.0
USA,Attacking - Goals,8.0
Uruguay,Attacking - Goals,3.0
Uzbekistan,Attacking - Goals,2.0
Algeria,Attacking - Headed Attempts at Goal,5.0
Argentina,Attacking - Headed Attempts at Goal,4.0
Australia,Attacking - Headed Attempts at Goal,3.0
Austria,Attacking - Headed Attempts at Goal,5.0
Belgium,Attacking - Headed Attempts at Goal,8.0
Bosnia and Herzegovina,Attacking - Headed Attempts at Goal,5.0
Brazil,Attacking - Headed Attempts at Goal,10.0
Cabo Verde,Attacking - Headed Attempts at Goal,4.0
Canada,Attacking - Headed Attempts at Goal,15.0
Colombia,Attacking - Headed Attempts at Goal,7.0
Congo DR,Attacking - Headed Attempts at Goal,5.0
Croatia,Attacking - Headed Attempts at Goal,4.0
Curaçao,Attacking - Headed Attempts at Goal,4.0
Czechia,Attacking - Headed Attempts at Goal,10.0
Côte d'Ivoire,Attacking - Headed Attempts at Goal,3.0
Ecuador,Attacking - Headed Attempts at Goal,11.0
Egypt,Attacking - Headed Attempts at Goal,6.0
England,Attacking - Headed Attempts at Goal,16.0
France,Attacking - Headed Attempts at Goal,5.0
Germany,Attacking - Headed Attempts at Goal,12.0
Ghana,Attacking - Headed Attempts at Goal,3.0
Haiti,Attacking - Headed Attempts at Goal,5.0
IR Iran,Attacking - Headed Attempts at Goal,7.0
Iraq,Attacking - Headed Attempts at Goal,6.0
Japan,Attacking - Headed Attempts at Goal,5.0
Jordan,Attacking - Headed Attempts at Goal,3.0
Korea Republic,Attacking - Headed Attempts at Goal,9.0
Mexico,Attacking - Headed Attempts at Goal,6.0
Morocco,Attacking - Headed Attempts at Goal,8.0
Netherlands,Attacking - Headed Attempts at Goal,14.0
New Zealand,Attacking - Headed Attempts at Goal,6.0
Norway,Attacking - Headed Attempts at Goal,9.0
Panama,Attacking - Headed Attempts at Goal,5.0
Paraguay,Attacking - Headed Attempts at Goal,4.0
Portugal,Attacking - Headed Attempts at Goal,2.0
Qatar,Attacking - Headed Attempts at Goal,2.0
Saudi Arabia,Attacking - Headed Attempts at Goal,3.0
Scotland,Attacking - Headed Attempts at Goal,6.0
Senegal,Attacking - Headed Attempts at Goal,6.0
South Africa,Attacking - Headed Attempts at Goal,5.0
Spain,Attacking - Headed Attempts at Goal,11.0
Sweden,Attacking - Headed Attempts at Goal,8.0
Switzerland,Attacking - Headed Attempts at Goal,3.0
Tunisia,Attacking - Headed Attempts at Goal,4.0
Türkiye,Attacking - Headed Attempts at Goal,7.0
USA,Attacking - Headed Attempts at Goal,9.0
Uruguay,Attacking - Headed Attempts at Goal,15.0
Uzbekistan,Attacking - Headed Attempts at Goal,2.0
Algeria,Attacking - Off-Target Attempts,14.0
Argentina,Attacking - Off-Target Attempts,15.0
Australia,Attacking - Off-Target Attempts,12.0
Austria,Attacking - Off-Target Attempts,14.0
Belgium,Attacking - Off-Target Attempts,30.0
Bosnia and Herzegovina,Attacking - Off-Target Attempts,10.0
Brazil,Attacking - Off-Target Attempts,21.0
Cabo Verde,Attacking - Off-Target Attempts,14.0
Canada,Attacking - Off-Target Attempts,27.0
Colombia,Attacking - Off-Target Attempts,23.0
Congo DR,Attacking - Off-Target Attempts,21.0
Croatia,Attacking - Off-Target Attempts,9.0
Curaçao,Attacking - Off-Target Attempts,18.0
Czechia,Attacking - Off-Target Attempts,15.0
Côte d'Ivoire,Attacking - Off-Target Attempts,17.0
Ecuador,Attacking - Off-Target Attempts,22.0
Egypt,Attacking - Off-Target Attempts,23.0
England,Attacking - Off-Target Attempts,26.0
France,Attacking - Off-Target Attempts,26.0
Germany,Attacking - Off-Target Attempts,26.0
Ghana,Attacking - Off-Target Attempts,6.0
Haiti,Attacking - Off-Target Attempts,15.0
IR Iran,Attacking - Off-Target Attempts,15.0
Iraq,Attacking - Off-Target Attempts,13.0
Japan,Attacking - Off-Target Attempts,15.0
Jordan,Attacking - Off-Target Attempts,9.0
Korea Republic,Attacking - Off-Target Attempts,13.0
Mexico,Attacking - Off-Target Attempts,15.0
Morocco,Attacking - Off-Target Attempts,19.0
Netherlands,Attacking - Off-Target Attempts,15.0
New Zealand,Attacking - Off-Target Attempts,8.0
Norway,Attacking - Off-Target Attempts,14.0
Panama,Attacking - Off-Target Attempts,16.0
Paraguay,Attacking - Off-Target Attempts,14.0
Portugal,Attacking - Off-Target Attempts,16.0
Qatar,Attacking - Off-Target Attempts,10.0
Saudi Arabia,Attacking - Off-Target Attempts,5.0
Scotland,Attacking - Off-Target Attempts,12.0
Senegal,Attacking - Off-Target Attempts,21.0
South Africa,Attacking - Off-Target Attempts,18.0
Spain,Attacking - Off-Target Attempts,26.0
Sweden,Attacking - Off-Target Attempts,18.0
Switzerland,Attacking - Off-Target Attempts,17.0
Tunisia,Attacking - Off-Target Attempts,8.0
Türkiye,Attacking - Off-Target Attempts,35.0
USA,Attacking - Off-Target Attempts,15.0
Uruguay,Attacking - Off-Target Attempts,25.0
Uzbekistan,Attacking - Off-Target Attempts,8.0
Algeria,Attacking - Possession Control (%),58.0
Argentina,Attacking - Possession Control (%),53.0
Australia,Attacking - Possession Control (%),35.0
Austria,Attacking - Possession Control (%),44.0
Belgium,Attacking - Possession Control (%),52.0
Bosnia and Herzegovina,Attacking - Possession Control (%),38.0
Brazil,Attacking - Possession Control (%),52.0
Cabo Verde,Attacking - Possession Control (%),36.0
Canada,Attacking - Possession Control (%),49.0
Colombia,Attacking - Possession Control (%),56.0
Congo DR,Attacking - Possession Control (%),37.0
Croatia,Attacking - Possession Control (%),49.0
Curaçao,Attacking - Possession Control (%),32.0
Czechia,Attacking - Possession Control (%),37.0
Côte d'Ivoire,Attacking - Possession Control (%),45.0
Ecuador,Attacking - Possession Control (%),52.0
Egypt,Attacking - Possession Control (%),47.0
England,Attacking - Possession Control (%),60.0
France,Attacking - Possession Control (%),51.0
Germany,Attacking - Possession Control (%),56.0
Ghana,Attacking - Possession Control (%),33.0
Haiti,Attacking - Possession Control (%),42.0
IR Iran,Attacking - Possession Control (%),37.0
Iraq,Attacking - Possession Control (%),37.0
Japan,Attacking - Possession Control (%),42.0
Jordan,Attacking - Possession Control (%),29.0
Korea Republic,Attacking - Possession Control (%),56.0
Mexico,Attacking - Possession Control (%),48.0
Morocco,Attacking - Possession Control (%),55.0
Netherlands,Attacking - Possession Control (%),50.0
New Zealand,Attacking - Possession Control (%),42.0
Norway,Attacking - Possession Control (%),47.0
Panama,Attacking - Possession Control (%),42.0
Paraguay,Attacking - Possession Control (%),28.0
Portugal,Attacking - Possession Control (%),55.0
Qatar,Attacking - Possession Control (%),31.0
Saudi Arabia,Attacking - Possession Control (%),33.0
Scotland,Attacking - Possession Control (%),41.0
Senegal,Attacking - Possession Control (%),52.0
South Africa,Attacking - Possession Control (%),46.0
Spain,Attacking - Possession Control (%),62.0
Sweden,Attacking - Possession Control (%),43.0
Switzerland,Attacking - Possession Control (%),55.0
Tunisia,Attacking - Possession Control (%),36.0
Türkiye,Attacking - Possession Control (%),58.0
USA,Attacking - Possession Control (%),54.0
Uruguay,Attacking - Possession Control (%),51.0
Uzbekistan,Attacking - Possession Control (%),35.0
Algeria,Attacking - Rank,19.0
Argentina,Attacking - Rank,7.0
Australia,Attacking - Rank,33.0
Austria,Attacking - Rank,14.0
Belgium,Attacking - Rank,14.0
Bosnia and Herzegovina,Attacking - Rank,19.0
Brazil,Attacking - Rank,5.0
Cabo Verde,Attacking - Rank,33.0
Canada,Attacking - Rank,5.0
Colombia,Attacking - Rank,25.0
Congo DR,Attacking - Rank,25.0
Croatia,Attacking - Rank,19.0
Curaçao,Attacking - Rank,44.0
Czechia,Attacking - Rank,33.0
Côte d'Ivoire,Attacking - Rank,19.0
Ecuador,Attacking - Rank,33.0
Egypt,Attacking - Rank,19.0
England,Attacking - Rank,14.0
France,Attacking - Rank,1.0
Germany,Attacking - Rank,2.0
Ghana,Attacking - Rank,33.0
Haiti,Attacking - Rank,33.0
IR Iran,Attacking - Rank,28.0
Iraq,Attacking - Rank,44.0
Japan,Attacking - Rank,7.0
Jordan,Attacking - Rank,28.0
Korea Republic,Attacking - Rank,33.0
Mexico,Attacking - Rank,14.0
Morocco,Attacking - Rank,11.0
Netherlands,Attacking - Rank,2.0
New Zealand,Attacking - Rank,25.0
Norway,Attacking - Rank,4.0
Panama,Attacking - Rank,48.0
Paraguay,Attacking - Rank,28.0
Portugal,Attacking - Rank,14.0
Qatar,Attacking - Rank,33.0
Saudi Arabia,Attacking - Rank,44.0
Scotland,Attacking - Rank,44.0
Senegal,Attacking - Rank,7.0
South Africa,Attacking - Rank,33.0
Spain,Attacking - Rank,19.0
Sweden,Attacking - Rank,11.0
Switzerland,Attacking - Rank,11.0
Tunisia,Attacking - Rank,33.0
Türkiye,Attacking - Rank,28.0
USA,Attacking - Rank,7.0
Uruguay,Attacking - Rank,28.0
Uzbekistan,Attacking - Rank,33.0
Algeria,Attacking - xG,3.99
Argentina,Attacking - xG,6.55
Australia,Attacking - xG,1.99
Austria,Attacking - xG,3.63
Belgium,Attacking - xG,6.55
Bosnia and Herzegovina,Attacking - xG,1.83
Brazil,Attacking - xG,8.31
Cabo Verde,Attacking - xG,2.04
Canada,Attacking - xG,8.33
Colombia,Attacking - xG,4.55
Congo DR,Attacking - xG,3.07
Croatia,Attacking - xG,2.24
Curaçao,Attacking - xG,1.7
Czechia,Attacking - xG,2.44
Côte d'Ivoire,Attacking - xG,5.5
Ecuador,Attacking - xG,5.41
Egypt,Attacking - xG,3.76
England,Attacking - xG,6.72
France,Attacking - xG,7.86
